id,FSRQ,DWJZ,LJJZ,JZZZL,time,num
346,2008-06-19,1,1,0,1213804800,3010
347,2008-06-20,1.0001,1.0001,0.01,1213891200,3009
348,2008-06-27,0.9999,0.9999,-0.02,1214496000,3008
349,2008-06-30,0.9999,0.9999,0,1214755200,3007
350,2008-07-04,1.0002,1.0002,0.03,1215100800,3006
351,2008-07-11,1.0031,1.0031,0.2899,1215705600,3005
352,2008-07-18,0.9961,0.9961,-0.6978,1216310400,3004
353,2008-07-25,1.0054,1.0054,0.9336,1216915200,3003
354,2008-08-01,0.9945,0.9945,-1.0841,1217520000,3002
355,2008-08-08,0.9739,0.9739,-2.0714,1218124800,3001
356,2008-08-15,0.9658,0.9658,-0.8317,1218729600,3000
357,2008-08-22,0.9599,0.9599,-0.6109,1219334400,2999
358,2008-08-29,0.9523,0.9523,-0.7917,1219939200,2998
359,2008-09-05,0.9336,0.9336,-1.9637,1220544000,2997
360,2008-09-12,0.9299,0.9299,-0.3963,1221148800,2996
361,2008-09-18,0.9261,0.9261,-0.4086,1221667200,2995
362,2008-09-19,0.9378,0.9378,1.2634,1221753600,2994
363,2008-09-22,0.9425,0.9425,0.5012,1222012800,2993
364,2008-09-23,0.9284,0.9284,-1.496,1222099200,2992
365,2008-09-24,0.9294,0.9294,0.1077,1222185600,2991
366,2008-09-25,0.9402,0.9402,1.162,1222272000,2990
367,2008-09-26,0.9451,0.9451,0.5212,1222358400,2989
368,2008-09-30,0.9451,0.9451,0,1222704000,2988
369,2008-10-06,0.9305,0.9305,-1.5448,1223222400,2987
370,2008-10-07,0.9354,0.9354,0.5266,1223308800,2986
371,2008-10-08,0.9271,0.9271,-0.8873,1223395200,2985
372,2008-10-09,0.9258,0.9258,-0.1402,1223481600,2984
373,2008-10-10,0.916,0.916,-1.0585,1223568000,2983
374,2008-10-13,0.9266,0.9266,1.1572,1223827200,2982
375,2008-10-14,0.9235,0.9235,-0.3346,1223913600,2981
376,2008-10-15,0.9227,0.9227,-0.0866,1224000000,2980
377,2008-10-16,0.9077,0.9077,-1.6257,1224086400,2979
378,2008-10-17,0.9086,0.9086,0.0992,1224172800,2978
379,2008-10-20,0.9159,0.9159,0.8034,1224432000,2977
380,2008-10-21,0.916,0.916,0.0109,1224518400,2976
381,2008-10-22,0.912,0.912,-0.4367,1224604800,2975
382,2008-10-23,0.9115,0.9115,-0.0548,1224691200,2974
383,2008-10-24,0.9054,0.9054,-0.6692,1224777600,2973
384,2008-10-27,0.891,0.891,-1.5905,1225036800,2972
385,2008-10-28,0.8974,0.8974,0.7183,1225123200,2971
386,2008-10-29,0.8918,0.8918,-0.624,1225209600,2970
387,2008-10-30,0.897,0.897,0.5831,1225296000,2969
